vie,eng
Nhất bồn khai thuỷ ngân nhất nguyên;,A basin of hot water costs one dong;
"Nhất nguyên mãi vật đắc lục giác,","One dong to buy goods is only worth six hao,"
Ngục trung giá cách định chiêu nhiên.,Prices in prison are fixed like that!
"Nhất canh, nhị canh, hựu tam canh,","First watch, second watch, then third watch,"
"Triển chuyển, bồi hồi, thuỵ bất thành;","Tossing and turning, unable to sleep;"
"Tứ, ngũ canh thì tài hợp nhãn,","Fourth watch, fifth watch, just dozing off,"
Mộng hồn hoàn nhiễu ngũ tiêm tinh.,My soul wanders around the five-pointed star.
"Tích quân tống ngã chí giang tân,","The day you saw me off at the riverbank,"
"Vấn ngã quy kỳ, chỉ cốc tân.","Asked about my return, pointing to the new rice crop;"
"Hiện tại tân điền dĩ lê hảo,","Now the fields have been plowed again,"
Tha hương ngã tác ngục trung nhân.,"In a foreign land, I am a prisoner."
"Đại huyền xuân ôn hoà thả bình,","The large string radiates the warmth of spring, leisurely and rhythmically,"
Tiểu huyền liêm chiết lượng dĩ thanh.,"The small string sounds clear, crisp, and bright."
"Bình sinh vị thức cung dữ giác,","In my life, I have never known what a bow or a waterfall is,"
Đãn văn ngưu minh áng trung trĩ đăng mộc.,"I only hear the sound of a buffalo roaring in an earthenware jar, a sparrow perched on a tree."
"Môn tiền bác trác thuỳ khấu môn,","Someone is knocking at the door,"
Sơn tăng vị nhàn quân vật sân.,"The monk is not free, please don't be angry!"
"Quy gia thả mịch thiên hộc thuỷ,","When you get home, find a thousand barrels of water,"
Tịnh tẩy thung tiền tranh địch nhĩ.,Wash away the ear holes entangled with the sounds of disputes and flutes of the past.
"Kiếm vũ hữu thần thông thảo thánh,","The blades of grass with a strange, saintly height, when swaying, look like divine swords dancing,"
Hải sơn vô sự hoá cầm công.,"Mountains and rivers, idle and carefree, naturally become musicians."
"Thử đài nhất lãm Tần xuyên tiểu,","Just one glance at this tower, and the entire Qin Chuan range becomes small,"
Bất đãi truyện kinh ý dĩ không.,"No need to hear the scriptures, the mind is already empty."
"Cơ nhân hốt mộng phạn tắng dật,","The hungry man suddenly dreams of a full bowl of rice,"
Mộng trung nhất bão bách ưu thất.,"One full meal in a dream, and a hundred worries disappear."
"Chỉ tri mộng bão bản lai không,","Only knowing that the fullness in the dream is inherently empty,"
Vị ngộ chân cơ định hà vật.,But not yet understanding what true hunger is.
"Ngã sinh vô điền thực phá nghiễn,","I was born without fields, making a living by my broken inkstone,"
Nhĩ lai nghiễn khô ma bất xuất.,"The inkstone has long been dry, it won't grind."
"Khứ niên thái tuế không tại dậu,","Last year, the evil star Tai Sui lay idle in the fence,"
Bàng xá hồ tương bất dung khất.,The neighbor wouldn't even give a jar of soy sauce.
"Kim niên hạn thế phục như thử,","And this year, the drought is the same,"
Tuế vãn hà dĩ kiềm ngô đột.,"At the end of the year, what will I use to blacken my chimney?"
"Thanh thiên đãng đãng hô bất văn,","The sky is vast, calls cannot reach,"
Huống dục khể thủ hào nê Phật.,Do you still want to bow your head and call upon the Earth Buddha?
"Úng trung tích dịch vưu khả tiếu,","The gecko in the jar is laughable,"
Kỳ kỳ mạch mạch hà đẳng trật.,"Crawling back and forth, making a fuss, achieving nothing."
"Âm dương hữu thì vũ hữu số,","Yin and Yang have their time, rain and wind have their number,"
Dân thị thiên dân thiên tự tuất.,"The people are the people of heaven, heaven must have compassion."
"Ngã tuy cùng khổ bất như nhân,","I am poor, no better than anyone,"
Yếu diệc tự thị dân chi nhất.,But also one among those people.
"Hình dung khả tự táng gia cẩu,","My appearance is like a stray dog,"
Vị khẳng điệp nhĩ tranh đầu cốt.,But I haven't yet pricked up my ears for the discarded bone.
"Đảo quán lạc trách tạ bằng hữu,","Snatching the sash, throwing off the hat, bidding farewell to friends,"
Độc dữ văn lôi cộng khuê tất.,"Alone with the flies, they buzz like thunder, gathering on the onions."
"Cố nhân sân ngã bất khai môn,","Friends are angry that I don't open the door,"
Quân thị ngã môn thuỳ khẳng khuất.,"But you try and see, who is willing to bow before my door?"
"Khả liên minh nguyệt như bát thuỷ,","Only pity the innocent moon pouring its light like flowing water,"
Dạ bán thanh quang phiên ngã thất.,"At midnight, pouring cool light into my house."
"Phong tùng nam lai phi vũ hậu,","The wind blows from the south, it's not yet time for rain,"
Thả vị bì nhân tẩy chưng uất.,But it also washes away the stuffy resentment in my heart for the weary person.
"Khiên thường nhất hoạ khoái tai dao,","Rolling up my sleeves, I respond with a folk song: saying how joyful!"
Vị hạ cơ hàn niệm minh nhật.,"But in a moment, I think about tomorrow's hunger."
"Khứ niên đông pha thập ngoã lịch,","Last year, I cleared bricks and tiles in the east slope,"
Tự chủng hoàng tang tam bách xích.,And planted mulberry trees in three hundred feet of land.
"Kim niên ngải thảo cái tuyết đường,","This year, I cut grass to thatch the snow-covered house,"
Nhật chích phong xuy diện như mặc.,"Sunburned, windblown, my face as black as ink."
"Bình sinh lại đoạ kim thuỷ hối,","I've been lazy all my life, now I regret it,"
Lão đại khuyến nông thiên sở trực.,"Old and diligently farming, so heaven has mercy."
"Phái nhiên lệ tứ tam xích vũ,","Torrential rain poured down, three feet high,"
Tạo vật vô tâm hoảng nan trắc.,"Nature is heartless, murky and unpredictable."
"Tứ phương thượng hạ đồng nhất vân,","Clouds all around, in all directions, from top to bottom,"
Cam dâm bất vi long sở cách.,"Pouring rain incessantly, giving the dragon no rest."
"Bồng hao hạ thấp nghinh hiểu lỗi,","Early morning, the reeds below have met the plow,"
Đăng hoả tân lương thôi dạ chức.,"Bright lights return, urging people to weave at night."
"Lão phu tác bãi đắc cam tẩm,","The old man finished farming and had a good sleep,"
Ngoạ thính tường đông nhân hưởng kịch.,"Lying down, I hear the sound of clogs against the east wall."
"Bôn lưu vị dĩ khanh cốc bình,","The water hasn't flowed long, the pits are full,"
Chiết vi khô hà tứ phiêu nịch.,"Broken reeds, withered lotus, drifting aimlessly."
"Hủ nho thô lệ chi bách niên,","Pounding coarse rice in a wine jar seems like it will never be finished,"
Lực canh bất thọ chúng mục liên.,"Exerting all my strength, but unable to plow, people's eyes see and pity."
"Phá pha lậu thuỷ bất nại hạn,","The field banks burst, water overflows, regardless of drought,"
Nhân lực vị chí cầu thiên toàn.,"Human strength is not enough, I have to pray to heaven to complete it, only then can I hope!"
"Hội đương tác đường kính thiên bộ,","I have to dig a pond, a thousand feet long,"
Hoành đoạn tây bắc già sơn tuyền.,"Lying across, cutting through the northwest, blocking the upstream flow."
"Tứ lân tương suất trợ cử xử,","Neighbors come to help, lifting the pestle for me!"
Nhân nhân tri ngã nang vô tiền.,Everyone knows my pockets are empty.
"Minh niên cộng khan quyết cừ vũ,","Next year, we'll see, the rain will break that canal!"
Cơ bão tại ngã ninh quan thiên.,"Hunger or fullness is up to us, why blame heaven?"
"Thuỳ năng bạn ngã điền gian ẩm,",Who can drink wine with me in the field?
Tuý đảo duy hữu chi đầu chuyên.,"That's the stone at the crossroads, it's already drunkenly swaying."
"Thiên công hiệu lệnh tái bất xuất,","Heaven no longer decrees rain,"
Thập nhật sầu lâm tính vi nhất.,"It rains once for ten days straight, dreary and depressing."
"Quân gia hữu điền thuỷ mạo điền,","Uncle's house has fields, water floods the fields,"
Ngã gia vô điền ưu nhập thất.,"My house has no fields, yet I worry about water overflowing the threshold."
"Bất như Tây châu Dương đạo sĩ,","Not as good as Daoist Duong in Tay Chau,"
Vạn lý tuỳ thân duy lưỡng tất.,"Traveling thousands of miles, only carrying two knees."
"Duyên lưu bất ố tố diệc giai,","Downstream is not hated, upstream is also good,"
Nhất diệp biển chu nhiệm phong đột.,"A boat, drifting freely."
"Sơn khung mạch khúc đô bất dụng,","Forest herbs, simple kitchen wine, are not needed,"
Nê hành lộ túc chung vô tật.,"Wading in mud, sleeping in dew, not in a hurry."
"Dạ lai cơ trường như chuyển lôi,","But at night, a hungry stomach rumbles like thunder,"
Lữ sầu phi tửu bất khả khai.,"Then the sorrow of loneliness, without wine, how can it be soothed?"
"Dương sinh tự ngôn thức âm luật,","Old Duong considers himself good at music,"
Động tiêu nhập thủ thanh thả ai.,"Putting the flute in his hand, the sound is clear but sad."
"Bất tu cánh đãi thu tỉnh tháp,","No need to wait for the autumn well to break,"
Kiến nhân bạch cốt phương hàm bôi.,Seeing a skeleton is when he raises his cup.
"Cố nhân thích thiên lý,","An old friend embarks on a long journey,"
Lâm biệt thượng trì trì.,"At parting, there's still lingering attachment."
"Nhân hành do khả phục,",The departing person still hopes for a return someday;
Tuế hành na khả truy.,"Years pass by, how can one catch up?"
"Vấn tuế an sở chi,","Ask, where do the ""years"" go?"
Viễn tại thiên nhất nhai.,To what distant horizon do they travel?
"Dĩ trục đông lưu thuỷ,","Or have they followed the eastward flowing water,"
Phó hải quy vô thì.,"Pouring into the sea, never to return?"
"Đông lân tửu sơ thục,","East village, the wine is just ripe;"
Tây xá trệ diệc phì.,"West house, the sow has also grown fatter."
"Thả vi nhất nhật hoan,","Let's enjoy a full day,"
Uý thử cùng niên bi.,To compensate for a whole year of sorrow and wither.
"Vật ta cựu tuế biệt,","Don't forget to bid farewell to the old year,"
Hành dữ tân tuế từ.,And let the old year bid farewell to the new.
"Khứ khứ vật hồi cố,","Tell it to go, don't look back."
Hoàn quân lão dữ suy.,Give back to it old age and weakness.
"Tù nhân xuất khứ hoặc vi quốc,","Prisoners released from prison, sometimes build a nation,"
Hoạn quá đầu thì thuỷ kiến trung;,"Through adversity, loyal people are revealed;"
"Nhân hữu ưu sầu ưu điểm đại,","Those who worry, a great virtue,"
"Lung khai trúc sản, xuất chân long.","The prison opens its bamboo door, the true dragon will fly out."
"La Phù sơn hạ tứ thì xuân,","At the foot of La Phu mountain, all four seasons are spring,"
Lô quất dương mai thứ đệ tân.,"Oranges, grapefruits, tangerines, apricots take turns blooming and bearing fruit."
"Nhật đạm lệ chi tam bách khoả,","There are days of eating three hundred lychees,"
Bất từ trường tác Lĩnh Nam nhân.,Not refusing the desire to become a Linh Nam citizen.
"Triêu dương xuyên quá lung toàn bộ,","The morning sun penetrates the prison,"
Thiêu tận u yên dữ ám mai;,Burning away the remaining haze and gloom;
"Sinh khí đốn thì sung vũ trụ,","Vitality suddenly fills the universe,"
Phạm nhân cá cá tiếu nhan khai.,Every prisoner has a smiling face.
"Đạm nguyệt sơ tinh nhiễu Kiến Chương,","Sparse stars, pale moon surround Kien Chuong palace,"
Tiên phong xuy há ngự lô hương.,Fairy winds carry the fragrance of the imperial incense burner.
"Thị thần hộc lập Thông Minh điện,","Officials stand like rows of egrets in Thong Minh palace,"
Nhất đoá hồng vân phủng Ngọc Hoàng.,Like a pink cloud lifting the Jade Emperor.
"Mỹ đoàn khứ liễu Anh đoàn đáo,","The American delegation departs, the British delegation arrives,"
Đáo xứ hân phùng nhiệt liệt tình;,Everywhere they are warmly welcomed;
"Ngã dã “phỏng Hoa đoàn” nhất bộ,","I am also a ""China Visit Delegation"","
Khước tao đặc chủng đích hoan nghênh.,And encounter a special kind of welcome.
"Ký giải đáo Nam Ninh,","Already escorted to Nam Ninh,"
Hựu giải phản Vũ Minh;,Then escorted back to Vu Minh;
"Loan loan, khúc khúc giải,","Escorted around and around,"
Đồ diên ngã hành trình.,Prolonging my journey.
Bất bình!,Unjust!
"Quá Quả Đức thì ngật tiên ngư,","When passing Qua Duc, ate fresh fish,"
Quá Bào Hương thì ngật cẩu nhục;,"When passing Bao Huong, ate dog meat;"
"Khả kiến nhất ban đệ giải nhân,","Thus I knew those soldier escorts,"
Sinh hoạt hữu thì dã bất tục.,Their way of life is sometimes sophisticated.
"Vân hải tương vọng ký thử thân,","One looks from the eastern sea, one gazes from the northern clouds,"
Na nhân viễn thích cánh triêm cân.,The road is long and sentiment has drenched the towel many times.
"Bất từ dịch kỵ lăng phong tuyết,","Through wind and snow, past many inns,"
Yếu sử thiên kiêu thức phụng lân.,Let the enemy clearly see the face of the phoenix and unicorn.
"Sa mạc hồi khan Thanh cấm nguyệt,","The moon of Thanh Cam above the desert,"
Hồ sơn ứng mộng Vũ lâm xuân.,The sky of Vu Lam reflects in dreams a million rivers and lakes.
"Thiền Vu nhược vấn quân gia thế,","If Thien Vu asks about your family background,"
Mạc đạo trung triều đệ nhất nhân.,Don't say you're the foremost person in the court.
"Bạch tửu vô thanh hoạt tả du,","White wine without song, poured smoothly like oil,"
Tuý hành đê thượng tản vô sầu.,"Drunk, I stroll along the dike, carefree and not sorrowful."
"Xuân phong liệu tiễu Dương Giác chuyển,","Spring wind caresses the high mountain, the Horn star moves,"
Hà thuỷ diểu miên qua mạn lưu.,"The Yellow River's waters, white as cotton, flow together."
"Quân dĩ tư quy mộng Ba Giáp,","You think of the day you return, dreaming of Ba Thuc land,"
Ngã năng vị đáo thuyết Hoàng Châu.,"I, though I haven't been to Huangzhou, speak of Huangzhou."
"Thử thân tụ tán hà cùng dĩ,","This body meets then parts, where will it ultimately go?"
Vị nhẫn bi ca học Sở tù.,I can't bear the sad songs to learn like the Chu prisoner.
"Bất cao diệc bất viễn,","Not tall, not far,"
Phi đế diệc phi vương;,"Not emperor, not king;"
"Tiểu tiểu nhất phiến thạch,","A small stone slab,"
Ngật lập đại đạo bàng;,Standing erect by the highway;
"Nhân lại nhĩ chỉ thị,","People ask you for directions,"
Bất tẩu thác hướng phương;,So they don't go the wrong way;
"Nhĩ cấp nhân chỉ thị,","You guide them,"
Đồ lộ chi đoản trường;,On the short or long road;
"Nhĩ công dã bất tiểu,","Your contribution is not small,"
Nhân nhân bất nhĩ vương.,People won't forget you.
"Hoàng Sơn tiểu hài chân quai quai,","The children of Hoang Son are so well-behaved,"
Kiến ngã tựu vấn “Bá bá hảo”.,"Seeing me, they all greet: ""Hello, Uncle!"""
"Giáp như tần quả, chuỷ như hoa,","Cheeks like apples, mouths like flowers,"
Đối ngã cảm tình chân nùng hậu.,Their affection for me is truly warm.
"Ngã thị Chu Trần cựu sứ quân,","I am a former lord of Chu Tran land,"
Khuyến canh tằng nhập Hạnh Hoa thôn.,Once went to Hanh Hoa village to encourage farming.
"Nhi kim phong vật na kham hoạ,","Today's scenery, how can it be painted,"
Huyện lại thôi tiền dạ đả môn.,"At night, the district magistrate knocks on the door, demanding money."
"Ngã phấn đấu thì quân hoạt động,","When I struggled, you were active,"
Quân nhập ngục thì ngã trú lung;,"When you were in prison, I was in jail;"
"Vạn lý dao dao vị kiến diện,","Thousands of miles apart, we've never met,"
Thần giao tự tại bất ngôn trung.,But a deep connection already existed in silence.
"Ngã môn tao phùng bản thị đồng,","Our situations are inherently similar,"
Bất đồng đích thị sở tao phùng;,But the dissimilarity also lies in the situation;
"Ngã cư hữu giả quyển linh lý,","I, in the prison of friends,"
Quân tại cừu nhân cốc trất trung.,"Still you, in the enemy's chains."
"Vạn lý gia sơn nhất mộng trung,",Hometown thousands of miles away in a dream
Ngô âm tiệm dĩ biến nhi đồng.,Speaking Wu dialect like a child learning to talk
"Mỗi phùng Thục tẩu đàm chung nhật,","Every time I met old Shu, we talked all day"
Tiện giác Nga My thuý tảo không.,As if seeing Nga My Mountain soaring high
"Sư dĩ vong ngôn chân hữu đạo,","The master has forgotten even speech, truly a man of Tao"
Ngã trừ sưu cú bách vô công.,"Besides seeking phrases, I'm worthless in a hundred ways"
"Minh niên thái dược Thiên Thai khứ,","Next year, I'll go gather herbs at Tiantai"
Cánh dục đề thi mãn Triết Đông.,I just want to write poems all over Zhedong
"Ngã dục quy hưu sắt tiệm hy,","I want to resign and retire, the sound of the zither gradually fading,"
Vũ Vu hà nhật trước xuân y!,When will I wear spring clothes to Vu Vu Pavilion?
"Đa tình bạch phát tam thiên trượng,","White hair, full of love, three thousand feet long,"
Vô dụng thương bì tứ thập vi.,"Pale skin, useless, forty layers thick."
"Vãn giác văn chương chân tiểu kỹ,","In old age, I understand that literature is just a small skill,"
Tảo tri phú quý hữu nguy ky.,I've long known that wealth and honor contain danger.
"Vị quân thuỳ thế, quân tri phủ,","I shed tears for you, do you know?"
Thiên cổ hoa đình hạc tự phi.,"Since ancient times, cranes have flown alone in magnificent pavilions."
"""Bình thủy tương phùng"", đàm phiến khắc, ","""Floating weeds meet,"" a brief chat,"
Quách quân đối ngã thậm ân cần; ,Uncle Guo was very kind to me;
"""Tuyết trung tống thán"" tuy nhiên thiểu,","Those who ""give charcoal in the snow"" are few,"
Thế giới nhưng tồn giá chủng nhân.,But there are still such people in the world.
"Điểu táo viên hô trú bế môn,","Birds scream, monkeys howl; doors are closed during the day."
Tịch liêu thuỳ thức cổ hoàng tôn.,"Desolate and empty, who knows where the ancient prince has gone?"
"Thanh ngưu cửu dĩ từ viên ách,","His green buffalo has long since cast off the yoke and plow,"
Bạch hạc thì lai phỏng tử tôn.,"And now, a white crane flies to visit his descendants."
"Sơn cận sóc phong xuy tích tuyết,","Nearby mountains, the north wind blows snowdrifts,"
Thiên hàn lạc nhật đạm cô thôn.,"Cold weather, the sun casts a pale shadow on the deserted village."
"Đạo nhân ưng quái du nhân chúng,","Perhaps the Taoist priest is surprised, why so many visitors!"
Cấp tận giai tiền tỉnh thuỷ hỗn.,They drank up a whole well in front of the courtyard.
"Lung ngoại lục thập cửu nhân áng,","Besides sixty-nine gangs working outside,"
Lung trung đích áng bất tri số;,Countless gangs inside the prison;
"Giam phòng khước tượng bào dược đường,","Prison cells resemble apothecaries,"
Hựu tượng nhai thượng mãi áng phố.,Everyone looks just like gang shops on the street!
"Kỷ thập nhật lai lao tẩu lộ,","For dozens of days, exhausted from walking,"
Kim thiên đắc tháp hoả xa hành;,"Today, we got to ride the train;"
"Tuy nhiên chỉ đắc toạ thán thượng,","Even though sitting on a pile of coal,"
Tất cánh tỷ đồ bộ phiêu lương.,It's still better than walking!
"Nhất tâm chỉ tưởng tự do cảnh,","Longing only for freedom,"
Yểm mệnh khiêu xa tha tẩu khai;,"He risked his life, jumped off the train, and escaped;"
"Khả tích tha bào bán lý hử,","Unfortunately, after running only half a mile,"
Hựu bị cảnh binh tróc hồi lai!,He was caught by the guards and brought back.
"Giam phòng Ban trưởng thiên thiên đổ,","The prison warden gambles every day,"
Cảnh trưởng tham thôn giải phạm tiền;,The greedy police chief takes money from the prisoners;
"Huyện trưởng thiêu đăng biện công sự,","The district magistrate works by lamplight,"
Lai Tân y cựu thái bình thiên.,Lai Tan is as peaceful as ever.
"Hoàng Sơn phong cảnh phi thường hảo,","The mountain scenery in Huangshan is exceptionally beautiful,"
Nhất thiên hạ vũ ngũ thiên tình.,"One day of rain, five days of dryness,"
"Triêu tuỳ tân khách tống lão khách,","Early morning, seeing off old guests with new ones,"
Dạ thính tuyền thanh hoạ điểu thanh.,"At night, hearing the streams answer the birds."
"Xuân tiêu nhất khắc trị thiên câm,","Spring night, a moment worth a thousand gold,"
Hoa hữu thanh hương nguyệt hữu âm.,"Flowers have a fresh fragrance, the moon has a shadow."
"Ca quản lâu đài thanh tế tế,","Singing and flute sounds from the castles are melodious,"
Thu thiên viện lạc dạ trầm trầm.,Rising and falling in the courtyard in the quiet late night.
"Khổ dược, bôi tương can cánh khổ,","Bitter medicine, the closer to the end, the more bitter it gets,"
"Nan quan, mạt bộ bội gian nan;","Difficult passes, the closer to the end, the more difficult they become;"
"Trưởng quan bộ chỉ cách lý hử,","The official's residence is only a mile away,"
Hà cố trường lưu ngã thử gian?,Why are we kept here?
"Thuỵ thì đô tượng thuần lương hán,","When sleeping, everyone seems innocent,"
"Tỉnh hậu tài phân thiện, ác nhân;","When awake, the good and the evil are clearly distinguished;"
"Thiện, ác nguyên lai vô định tính,","Good and evil are not inherent qualities,"
Đa do giáo dục đích nguyên nhân.,They are mostly the result of education.
"Tưởng giá nan quan thị tối hậu,","I thought this difficult pass was the last,"
Tự do nhật tử khoái lai lâm;,The day of freedom was coming quickly;
Na tri hoàn hữu nan quan tại:,"Unexpectedly, there was another difficult pass:"
Ngã môn ưng cai giải Quế Lâm.,We were taken to Guilin.
"“Nhất nhật tù, thiên thu tại ngoại”,","""One day in prison, a thousand autumns outside"","
Cổ nhân chi thoại bất sai ngoa!,The words of the ancients are truly correct;
"Tứ nguyệt phi nhân loại sinh hoạt,","Living like a non-human for four months,"
Sử dư tiều tuỵ thập niên đa.,Made me more haggard than ten years.
Nhân vị:,Because:
"Tứ nguyệt ngật bất bão,","Four months without enough food,"
"Tứ nguyệt thuỵ bất hảo,","Four months without restful sleep,"
"Tứ nguyệt bất hoán y,","Four months without changing clothes,"
Tứ nguyệt bất tẩy táo.,Four months without bathing.
Sở dĩ:,Therefore:
"Lạc liễu nhất chích nha,","Lost a tooth,"
"Phát bạch liễu hứa đa,","Hair turned gray a lot,"
"Hắc sấu tượng ngã quỷ,","Thin and dark like a hungry ghost,"
Toàn thân thị lại sa.,"Scabies all over the body,"
Hạnh nhi:,Fortunately:
"Trì cửu hoà nhẫn nại,","Persistent and patient,"
"Bất khẳng thoái nhất phân,","Did not retreat an inch,"
"Vật chất tuy thống khổ,","Although physically suffering,"
Bất động dao tinh thần.,The spirit was not shaken.
"Thuỳ tác Hoàn Y tam lộng,",Who made three plum blossom poems like Huan Yi
Kinh phá lục song u mộng.,Shattered the melancholic dreams behind the bars
"Tân nguyệt dữ sầu yên,",The crescent moon along with the sad smoke
Mãn giang thiên.,Covering the sky and river
"Dục khứ hựu hoàn bất khứ,",Wanting to go but staying
Minh nhật lạc hoa phi nhứ.,"Tomorrow, silk will fly, flowers will fall"
"Phi nhứ tống hành chu,","Silk flies, farewelling the boat on its journey"
Thuỷ đông lưu.,Following the current flowing eastward.
"Quế Lâm vô quế diệc vô lâm,","Guilin has no cinnamon and no forest,"
Chỉ kiến sơn cao dữ thủy thâm;,Only high mountains and deep rivers;
"Dung ấm giam phòng chân khả phạ,","The banyan tree casts its shadow on the prison cell, truly terrifying,"
"Bạch thiên hắc hắc, dạ trầm trầm.","Dark during the day, silent at night."
"Sơ lai yếu nạp nhập lung tiền,","Upon arrival, you must pay a fee to enter the jail,"
Chí thiểu nhưng tu ngũ thập nguyên;,at least fifty dong;
"Thảng nhĩ vô tiền bất năng nạp,","If you have no money, cannot pay,"
Nhĩ tương bộ bộ bính ma phiền.,Every step you take will be troublesome.
"Hoa Tư mộng đoạn nhân hà xứ,","The dream of Hua Si just ended, where is the person?"
Thính đắc oanh đề hồng thụ.,Hearing the oriole singing on the persimmon tree.
"Kỷ điểm tường vi hương vũ,",A few drops of drizzle on the rose.
Tịch mịch nhàn đình hộ.,The house is deserted and desolate.
"Noãn phong bất giải lưu hoa trú,","The warm wind doesn't know how to keep the flowers,"
Phiến phiến trứ nhân vô số.,Many petals fall and cling to people.
"Lâu thượng vọng xuân quy khứ,","On the upper floor, watching spring go away,"
Phương thảo mê quy lộ.,Fragrant grass makes the way back lost.
"Liễu Châu, Quế Lâm hựu Liễu Châu,","Lieu Chau, Que Lam and then Lieu Chau again,"
"Thích lai thích khứ, tượng bì cầu;",Kicking back and forth like a leather ball;
